attempt,components,support_half_width,amplitude,tv,hellinger
48,5,2.218884392351086,0.00039166161122286075,7.978027387664711e-05,6.378917951702605e-05
49,5,2.0922221532019005,0.0028687880061865263,0.0003519229572756526,0.0003057888309804951
50,15,1.7751372618566184,0.00024965571810582155,2.928134381143688e-05,2.552183004725375e-05
51,15,1.6296577262924843,0.0006967704120222181,7.207058864039167e-05,6.494265558724107e-05
52,11,2.8481527914066396,0.009077082310336115,0.001007725555151082,0.0013094462643274932
53,15,2.3849711447159105,0.013117606020451995,0.0010276139732726154,0.0008038206561042047
54,8,3.2301495078072255,0.0005031091282318347,0.00012148249316792918,0.0001764033573930821
55,5,3.085697040805961,0.0001162017080161828,3.8998142804601404e-05,3.115555332959853e-05
56,8,2.130849180407282,0.04941384529804227,0.008684061257969453,0.009699225454103056
57,5,3.6723617898660534,0.0001716818616549153,1.2705733409700007e-05,9.82365210200404e-06
58,5,2.962880538323161,0.15780591813569916,0.04908923882589457,0.04045405827560208
59,5,3.405475075170528,0.005285166558207629,0.0012931664366817711,0.0011355210931639943
60,8,3.9192026993051834,0.001321666057493392,0.0004095775673547049,0.0007307275602863604
61,11,3.6049658210109037,0.030225898342931105,0.008566848643204727,0.009967543232126598
62,11,2.2739994958229865,0.011405286773002612,0.0011607696033409073,0.0010008422088056282
63,11,1.7019315839469982,0.0002586806926254801,3.520785809174527e-05,4.820535966001259e-05
64,8,1.8248527226430533,0.0009927920377555,7.619965093245871e-05,6.749847910702097e-05
65,15,3.2404219173531805,0.0033814982380370078,0.00019477437587290953,0.00023799813422162248
66,5,3.8759672593943817,0.20843804609562222,0.06418432631894164,0.048302279989854924
68,8,1.6598094202199936,0.003343764654975922,0.00020366913032085233,0.0001832816144436341
69,8,3.0462608168686427,0.0007644221491460552,0.00016021451725812326,0.0001416408538973592
70,11,3.7917595779893905,0.0001361339189534383,1.556014266706209e-05,1.3961832228581299e-05
71,5,2.4687274929848035,0.0002864129398762127,6.830312507613257e-05,7.221142502306059e-05
72,11,3.180129667760939,0.07390652859535288,0.021812104119556218,0.023796697129069195
73,11,2.002572741430651,0.0029045019271660495,0.0003826439192008,0.0004039965760972893
74,15,2.389085919350319,0.00015038134917780838,1.1275522501629133e-05,1.0929490931603165e-05
75,15,1.6786204632552433,0.006476239031871631,0.0003404578953330404,0.00035439605942516486
76,11,1.912285830737042,0.00013906370495898722,2.3154895949754378e-05,2.4442387972868897e-05
77,5,2.3667772134464307,0.004064315268028466,0.0007349561678749522,0.0006548856847436577
78,15,3.836794759710678,0.011822392094632296,0.002278530947662963,0.0017995029876065618
79,5,2.294571992250072,0.0004625817536285065,3.945477052763079e-05,3.521983024457713e-05
80,5,1.8649871297827836,0.0013033402103332405,0.0003299406879726062,0.00028482909603293525
81,11,2.756819481377986,0.011687239167184796,0.0003947210734534379,0.0004571555110308171
82,11,3.1898088756179988,0.011486742385216282,0.0033242952554527008,0.0032085531011954863
83,11,3.152584339408795,0.014733935568155491,0.002969111908851545,0.002547676589109292
84,5,3.811772954097348,0.006506256430875744,0.0018738467653356022,0.0014145971840622158
85,11,3.1272146446106315,0.06606228789229611,0.0031631109890385436,0.0026456479826144105
86,8,1.5559715737225706,0.0001523739813324363,1.3372783555389131e-05,1.5638624988627944e-05
87,15,3.3033839771831905,0.015450834764290294,0.0005329896088372407,0.0004708954983606926
88,8,2.8568845577072137,0.0004904017165688133,0.00011550172513030008,0.00010027699754128491
89,8,3.1802921278376566,0.021894694589598078,0.004041033074397478,0.004574452816615169
90,11,3.512082727571645,0.19652972779703554,0.05339110060291879,0.04929895914865869
91,15,2.7893526496467063,0.0004157141854370185,5.325908932446381e-05,5.0708382996382455e-05
92,15,1.8240671686520087,0.06285182006634195,0.002320994464323594,0.002298617506894794
93,11,3.096728659633065,0.00011743579102031518,1.8501014549110453e-05,1.4172415547596488e-05
94,8,1.6076747035885859,0.0014255090259207102,0.0002883430416949051,0.00028208290688938256
95,5,2.407819555852163,0.019349465691150213,0.0011004527683033537,0.0011799132247516412
96,15,2.7824530760210324,0.05038614421352472,0.004921529831557943,0.004408609448504656
97,15,2.461891668708258,0.004166446285815164,0.0015142295359517235,0.0012997992483610055
98,15,2.885845726331398,0.000508198440258537,3.677573955106413e-05,3.428015814787587e-05
99,11,2.4021646341853193,0.005295618141387956,0.0005709080562940503,0.0005100194533014503
101,15,2.290237463074273,0.00013066580301053686,2.5559458480322504e-05,2.173667730424387e-05
102,11,3.5666356015568272,0.16746200835759434,0.03499094172563467,0.030131710949360034
103,11,2.6688252234206695,0.011745011641131875,0.0009756747607630614,0.0008012563908593207
104,8,3.151136437106336,0.0013771261959992563,0.0003583966356886888,0.0002858263105765494
105,8,3.791798491622865,0.0026689625875149273,0.00012918409979567326,0.00014453636207169588
106,15,3.5781508922077645,0.0333231146822456,0.005725399722900474,0.004942024818608536
108,8,2.8632294699101477,0.0001625160224253137,2.8527296927744904e-05,2.595019468260132e-05
109,11,3.7663450426903533,0.0002685198386424314,6.696858130823552e-05,5.7988336084518845e-05
110,5,1.7046170927267106,0.004579484333879465,0.0002688255731637248,0.00024039798811628793
111,8,1.9371265578582455,0.0005693193797572369,5.673007559831402e-05,4.561239974320959e-05
112,11,3.837064689608743,0.00030354869584241017,6.846334480100236e-05,6.533699123744911e-05
113,11,3.283068794067451,0.01261443621918925,0.0020298736065475797,0.0016211218273801521
114,11,2.8678912400431336,0.004893000865312275,0.0012171363686102324,0.0009271280257880783
115,5,3.149199102508112,0.0024197585752428665,0.0005099375812648048,0.0003934636383544155
116,11,2.5397616074998437,0.000570164839858341,3.5201998104152134e-05,3.243506396896396e-05
117,8,1.9664035821748456,0.0007867557991893457,1.9686993172478484e-05,1.7161992013153403e-05
118,5,1.570321197871385,0.11742805000616933,0.0006808579455095156,0.0005997466848258854
119,5,2.48552815536986,0.1300522209273173,0.013668754718004451,0.01750361437718899
123,11,3.9804537220406147,0.0039257678479875935,0.0008912554945800702,0.0006776102879046934
125,5,3.6615223683582623,0.00038179868248110237,0.0001482582958330376,0.0001213773332493967
