truth,epsilon,n,replicate,q,selected,h2_loss,tv_loss
point_+0.0,0.02,800,8,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,1600,8,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,9,-6.0,mix_-0.5_+0.5_w0.25,0.009232113867112179,0.10690992617970946
point_+0.0,0.02,200,9,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,9,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,9,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,9,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,10,-6.0,mix_-0.5_+1.0_w0.75,0.010624828263526075,0.11221544160342153
point_+0.0,0.02,200,10,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,10,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,10,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,1600,10,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,11,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,200,11,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,400,11,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,11,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,11,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,12,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,200,12,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,400,12,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,12,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,12,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,100,13,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,200,13,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,13,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,13,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,13,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,14,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
